Site name,Region, Latitude,Longitude,Lab Code,Date BP,SD,d13C,Level,Period,Material type,C14 method,Reference,Radiocarbon/sites,,,,,,,,,,,,,
La Paleta,Upper /Middle Tagus,40.10145833,-3.855811111,Beta223092,6660,60,,Hoyo 219,Neolithic,Seed/Fruit,AMS,Jiménez Guijarro 2010,2,,,,,,,,,,,,,
La Revilla del Campo,Upper / Middle Douro,41.31701389,-2.088541667,KIA21353,6156,33,,Estructura 12,Neolithic,Bone,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Revilla del Campo,Upper / Middle Douro,41.31701389,-2.088541667,KIA21354,6177,31,,Estructura 13,Neolithic,Bone,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Revilla del Campo,Upper / Middle Douro,41.31701389,-2.088541667,KIA21356,6355,30,,Estructura 4,Neolithic,Bone,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Revilla del Campo,Upper / Middle Douro,41.31701389,-2.088541667,UtC13269,6250,50,,Estructura 2,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Revilla del Campo,Upper / Middle Douro,41.31701389,-2.088541667,UtC13294,6240,50,,Estructura 16,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Revilla del Campo,Upper / Middle Douro,41.31701389,-2.088541667,UtC13295,6250,50,,Estructura 12,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Revilla del Campo,Upper / Middle Douro,41.31701389,-2.088541667,UtC13347,6313,48,,Estructura 9,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Revilla del Campo,Upper / Middle Douro,41.31701389,-2.088541667,UtC13348,6120,60,,Estructura 4,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Revilla del Campo,Upper / Middle Douro,41.31701389,-2.088541667,UtC13350,6210,60,,Estructura 2,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
Les Guixeres,Northern,41.447125,1.606563889,OxA26068,6655,45,,A,Neolithic,Bone,AMS,Oms et al. 2014,2,,,,,,,,,,,,,
Les Guixeres,Northern,41.447125,1.606563889,OxA26069,6458,38,-19.1,A,Neolithic,Bone,AMS,Oms et al. 2014,2,,,,,,,,,,,,,
Los Cascajos,Upper / Middle Douro,42.40176111,-2.106202778,Ua17793,5720,90,,Estructura 64,Neolithic,Bone,AMS,García Martínez de Lagrán 2012,1,,,,,,,,,,,,,
Los Cascajos,Upper / Middle Douro,42.40176111,-2.106202778,Ua17995,6125,80,,Estructura 214,Neolithic,Bone,AMS,García Gazolaiz et al. 2011,2,,,,,,,,,,,,,
Los Cascajos,Upper / Middle Douro,42.40176111,-2.106202778,Ua24427,6250,50,,Estructura 516,Neolithic,Seed/Fruit,AMS,García Gazolaiz et al. 2011,2,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua36203,6115,40,,XIb,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua36208,6120,40,,Xa,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
